carat,cut,color,clarity,table
1.2,Premium,J,SI1,58.0
1.22,Premium,J,VS2,59.0
0.31,Ideal,E,VVS2,60.0
0.55,Premium,E,VS2,62.0
0.76,Ideal,I,VS2,56.0
1.62,Ideal,I,VS2,54.2
1.21,Premium,I,VS1,59.0
0.71,Very Good,J,VS1,58.0
2.01,Very Good,J,VS2,58.0
0.32,Ideal,F,SI1,55.0
0.31,Ideal,F,VVS2,57.0
0.3,Premium,D,VS2,60.0
1.04,Premium,H,SI1,61.0
0.35,Premium,F,SI1,60.0
0.3,Ideal,D,VVS2,54.0
1.53,Premium,H,SI2,60.0
0.41,Very Good,D,SI1,55.0
1.08,Premium,I,SI1,58.0
0.37,Ideal,D,VS2,56.0
0.4,Ideal,G,SI1,56.0
1.53,Ideal,G,SI1,57.0
2.14,Premium,I,VS2,59.0
0.51,Fair,E,VS2,66.0
0.3,Ideal,G,VS1,55.0
0.34,Ideal,E,VVS1,56.0
1.03,Ideal,I,VS1,56.0
0.9,Premium,H,SI1,59.0
0.35,Ideal,I,VS2,55.0
0.41,Ideal,D,VVS2,56.0
0.51,Ideal,F,VS1,55.0
0.71,Premium,H,VS1,57.0
0.32,Ideal,H,VS2,55.0
1.51,Premium,G,VS1,58.0
0.31,Ideal,E,VVS1,56.0
1.06,Premium,D,SI1,57.0
1.01,Premium,E,SI1,60.0
0.35,Premium,D,VS2,61.0
1.2,Very Good,J,VS1,59.0
0.3,Very Good,F,VVS1,55.0
0.9,Premium,G,VS2,58.0
0.54,Good,E,VS2,61.0
0.25,Ideal,E,VS1,55.0
0.72,Ideal,E,SI2,57.0
1.01,Very Good,G,VVS2,56.0
0.34,Very Good,E,VS2,58.0
1.09,Ideal,G,VS1,57.0
0.41,Ideal,F,VS1,56.0
1.51,Premium,G,VVS2,58.0
1.51,Ideal,G,SI1,57.0
1.34,Very Good,D,SI2,59.0
1.02,Ideal,H,SI1,56.0
0.33,Premium,D,SI1,59.0
0.3,Premium,E,VS2,59.0
2.02,Very Good,H,SI2,59.0
1.02,Very Good,E,SI1,59.0
1.5,Very Good,D,SI2,56.0
0.61,Premium,G,VVS2,59.0
0.36,Premium,H,SI1,58.0
0.4,Ideal,F,VS1,55.0
1.0,Ideal,F,SI2,56.0
0.32,Ideal,E,SI1,56.0
0.56,Ideal,H,VS1,57.0
0.32,Ideal,D,VS2,56.0
0.4,Ideal,F,VVS2,57.0
0.71,Premium,E,SI1,55.0
0.51,Ideal,E,VS2,57.0
1.0,Very Good,F,SI1,59.0
0.32,Ideal,E,VS2,54.0
0.41,Ideal,E,VS1,57.0
0.9,Very Good,G,SI1,58.0
0.72,Very Good,E,SI2,57.0
1.08,Ideal,H,SI1,54.0
0.9,Premium,G,SI1,60.0
0.38,Ideal,E,VVS2,56.0
2.1,Very Good,F,SI2,61.0
0.56,Ideal,D,VVS2,56.0
0.94,Ideal,G,SI1,57.0
0.33,Ideal,E,VS2,57.0
1.0,Very Good,F,SI2,58.0
0.41,Premium,G,VS2,60.0
0.34,Premium,E,VS1,58.0
1.51,Premium,I,SI1,60.0
1.22,Premium,F,VS2,59.0
0.33,Ideal,G,VVS1,56.0
1.3,Very Good,H,VS1,58.0
0.7,Very Good,G,SI2,57.0
1.33,Premium,G,VS1,58.0
0.72,Ideal,F,SI1,57.0
2.17,Premium,H,SI2,57.0
0.59,Premium,D,VS2,58.0
0.72,Ideal,G,VVS2,54.0
1.06,Premium,H,VS2,59.0
0.42,Premium,D,VS2,58.0
1.51,Ideal,G,VS2,57.0
1.28,Ideal,I,SI1,56.0
1.01,Good,G,VS1,62.0
0.52,Ideal,E,VS2,55.0
0.3,Ideal,F,VVS1,55.0
2.07,Ideal,F,SI2,56.0
1.02,Very Good,J,SI1,58.0
0.32,Ideal,G,VVS2,56.0
0.32,Good,D,SI1,55.0
0.61,Ideal,D,VVS1,56.0
0.71,Premium,I,VVS1,58.0
0.41,Premium,F,VVS2,59.0
0.54,Ideal,I,VS2,57.0
0.34,Premium,E,SI1,59.0
0.5,Premium,F,SI1,61.0
0.52,Ideal,E,VS2,56.0
0.53,Premium,J,VS2,59.0
1.56,Premium,H,SI1,57.0
0.92,Good,F,SI2,56.0
1.2,Ideal,H,VS1,56.0
1.02,Ideal,E,SI1,57.0
0.51,Ideal,G,SI1,56.0
1.1,Ideal,F,VS1,55.0
1.53,Premium,H,SI1,59.0
0.3,Ideal,F,SI2,57.0
0.76,Ideal,G,VS2,55.0
0.31,Premium,D,VVS2,59.0
0.36,Ideal,E,VS2,55.0
1.17,Premium,J,SI2,59.0
0.31,Ideal,E,VVS1,54.0
0.73,Very Good,G,SI1,59.0
1.52,Premium,E,SI1,60.0
0.7,Premium,E,VS1,58.0
0.73,Ideal,I,SI2,56.0
1.01,Premium,E,VS2,60.0
0.71,Very Good,E,SI1,56.0
1.23,Premium,H,VS2,60.0
0.56,Ideal,G,VS2,56.0
0.7,Ideal,D,VS2,59.0
0.3,Ideal,E,VVS2,55.0
2.01,Good,F,SI2,57.0
0.77,Very Good,I,SI1,58.0
1.02,Ideal,E,VS2,56.0
0.9,Premium,G,VVS2,58.0
0.72,Very Good,D,VS2,57.0
0.83,Ideal,I,VS2,57.0
0.75,Ideal,D,SI2,57.0
0.31,Ideal,G,VVS1,57.0
0.5,Premium,E,SI2,58.0
0.5,Premium,G,VS1,59.0
0.31,Ideal,H,SI1,56.0
0.74,Very Good,E,VS2,57.0
1.01,Premium,E,SI2,58.0
1.01,Good,G,SI2,58.0
0.4,Premium,E,VS2,58.0
1.01,Very Good,H,SI1,59.0
0.29,Very Good,H,VS1,55.0
0.3,Ideal,G,SI2,55.0
1.03,Ideal,D,SI2,57.0
0.41,Premium,H,VVS1,58.0
1.51,Very Good,F,SI1,59.0
1.01,Very Good,D,VS1,61.0
0.29,Ideal,F,VVS1,57.0
1.2,Ideal,H,SI2,57.0
0.42,Ideal,D,VVS1,57.0
2.01,Ideal,G,SI1,55.0
0.48,Very Good,G,VVS1,56.0
0.71,Very Good,H,SI1,59.0
0.3,Very Good,F,IF,55.0
0.31,Ideal,G,VS2,56.0
0.59,Premium,D,SI1,55.0
0.37,Very Good,E,SI1,56.0
0.32,Ideal,E,VS2,56.0
0.32,Ideal,G,SI1,55.0
0.62,Ideal,D,SI1,55.0
0.32,Ideal,G,VVS1,55.0
1.0,Very Good,G,VS2,58.0
0.3,Premium,E,SI1,60.0
1.01,Ideal,H,VS2,56.0
1.01,Very Good,G,SI2,58.0
0.3,Ideal,E,VS2,55.0
0.34,Good,H,VS2,57.0
1.01,Very Good,F,VS2,56.0
0.71,Very Good,E,SI1,58.0
0.5,Fair,H,SI1,56.0
1.51,Very Good,J,VVS2,57.0
1.0,Premium,G,VS2,59.0
0.32,Premium,G,VVS1,58.0
0.7,Very Good,H,SI1,58.0
0.31,Good,H,VS2,58.0
1.01,Ideal,D,SI1,56.0
0.9,Very Good,F,SI1,59.0
1.02,Premium,D,SI1,56.0
1.52,Premium,E,SI1,58.0
0.72,Ideal,G,SI1,55.0
1.51,Premium,J,IF,58.0
0.43,Ideal,G,SI1,56.0
1.0,Good,E,VS2,64.0
0.41,Premium,H,VVS1,59.0
0.33,Ideal,G,VS1,55.0
0.72,Ideal,E,SI1,57.0
2.09,Premium,I,SI2,61.0
1.02,Very Good,H,VS1,55.0
1.0,Ideal,H,SI2,56.0
0.35,Ideal,D,SI1,55.0
1.74,Premium,I,VS2,57.0
0.4,Ideal,E,SI1,56.0
1.13,Premium,F,SI2,58.0
0.56,Ideal,G,VS1,56.0
1.7,Very Good,F,SI1,57.0
1.01,Very Good,F,VS1,57.0
1.07,Ideal,G,SI1,56.0
1.21,Premium,G,VS2,58.0
1.0,Premium,G,VVS2,60.0
0.31,Premium,E,VVS1,58.0
1.21,Ideal,E,VS1,57.0
1.21,Ideal,G,VS2,56.0
1.21,Good,G,VS2,61.0
1.03,Premium,H,VS2,58.0
0.38,Ideal,D,SI1,57.0
0.3,Very Good,G,VS2,58.0
0.3,Very Good,G,VVS1,56.0
1.51,Ideal,G,VVS2,57.0
0.51,Premium,G,SI1,60.0
0.31,Very Good,H,VS2,56.0
1.05,Ideal,I,SI2,57.0
1.04,Ideal,F,VS2,56.0
1.03,Ideal,F,SI1,57.0
0.5,Very Good,E,VS2,59.0
0.93,Premium,F,SI1,60.0
0.4,Ideal,G,VVS2,56.0
0.25,Ideal,H,VS1,54.0
2.02,Ideal,G,SI1,55.0
0.31,Ideal,F,IF,56.0
0.3,Premium,E,IF,59.0
0.55,Very Good,E,SI1,57.0
0.8,Ideal,F,VS2,56.0
1.01,Premium,G,SI1,60.0
0.77,Very Good,E,VS2,54.0
1.6,Premium,H,SI2,59.0
0.7,Premium,G,VS2,58.0
0.72,Ideal,F,SI1,53.0
0.51,Ideal,E,VS2,56.0
1.03,Ideal,I,VS2,56.0
0.7,Premium,F,SI1,59.0
0.53,Very Good,F,VVS2,59.0
1.34,Premium,H,VS1,59.0
0.91,Good,D,SI2,56.0
1.01,Very Good,J,SI1,59.0
0.34,Ideal,F,IF,55.0
1.03,Ideal,G,VVS2,56.0
0.3,Ideal,H,SI1,57.0
0.32,Ideal,G,SI2,57.0
0.31,Ideal,F,VVS2,57.0
1.51,Premium,E,VS1,58.0
1.01,Ideal,I,VS2,57.0
0.54,Ideal,E,SI1,55.0
0.5,Good,E,VVS2,56.0
1.2,Good,E,VS2,56.0
1.51,Ideal,I,VS2,57.0
0.41,Ideal,F,SI1,55.0
0.32,Ideal,F,VS1,55.0
1.51,Ideal,H,SI2,54.0
1.0,Very Good,G,SI1,63.0
0.93,Fair,F,I1,58.0
0.4,Ideal,E,VS1,56.0
0.37,Premium,G,VS1,59.0
1.01,Ideal,G,VS1,55.0
2.02,Ideal,I,SI2,56.0
1.0,Premium,F,SI1,58.0
1.09,Premium,H,VS2,58.0
1.02,Good,H,SI1,60.0
0.31,Ideal,D,SI1,56.0
0.39,Ideal,G,VVS1,55.0
0.42,Ideal,E,VS2,56.0
0.7,Premium,F,SI1,60.0
0.4,Ideal,J,VS2,56.0
0.5,Premium,G,VS2,62.0
0.38,Very Good,F,VS2,62.0
0.56,Very Good,D,SI1,58.0
2.28,Ideal,I,SI2,60.0
1.22,Very Good,F,SI1,58.0
1.2,Ideal,I,SI2,56.0
0.24,Very Good,F,VVS2,59.0
0.27,Ideal,E,VS1,57.0
0.33,Ideal,G,VVS1,54.0
1.06,Premium,E,SI2,59.0
1.15,Ideal,H,SI2,56.0
1.01,Ideal,G,VS1,58.0
1.0,Good,H,VS2,55.0
0.7,Ideal,F,SI2,56.0
0.38,Ideal,G,VS1,53.6
0.3,Ideal,I,SI2,57.0
0.51,Ideal,D,VVS2,53.0
0.34,Ideal,D,VVS1,57.0
0.33,Ideal,D,VS2,56.0
0.42,Premium,G,VS2,58.0
1.01,Very Good,D,SI2,61.0
1.5,Premium,G,VS2,59.0
0.31,Ideal,F,VVS2,54.0
1.21,Ideal,G,VS1,56.0
0.91,Ideal,H,SI1,54.0
0.72,Very Good,D,SI2,58.0
1.14,Ideal,F,VS2,55.0
1.07,Premium,G,SI2,58.0
0.53,Ideal,D,SI2,56.0
1.6,Very Good,I,VS2,58.0
0.38,Ideal,D,SI1,55.0
1.09,Very Good,D,SI2,55.0
0.41,Premium,H,SI1,58.0
1.51,Very Good,I,SI1,56.0
0.42,Premium,E,SI1,58.0
0.27,Ideal,G,VVS2,56.0
0.51,Ideal,G,VVS2,54.0
0.41,Premium,D,VS1,59.0
0.32,Ideal,G,VS2,57.0
1.04,Premium,F,SI2,58.0
2.06,Ideal,H,SI1,56.0
1.0,Ideal,G,VS2,56.0
0.23,Ideal,I,VVS1,56.0
0.32,Ideal,F,VS2,57.0
1.51,Premium,H,SI1,59.0
0.37,Ideal,D,VS1,57.0
0.34,Ideal,I,VVS2,57.0
0.35,Very Good,I,VS1,58.0
2.18,Premium,H,SI2,61.0
0.56,Very Good,F,VS2,56.0
0.51,Ideal,E,SI1,55.0
0.37,Premium,E,SI1,60.0
0.71,Very Good,F,SI1,58.0
0.51,Ideal,D,VS2,57.0
1.52,Fair,I,SI2,59.0
0.71,Very Good,H,VS2,58.0
1.02,Ideal,F,SI2,54.0
0.35,Ideal,D,VS2,56.0
0.71,Ideal,I,VS2,57.0
0.71,Premium,H,VS1,62.0
0.73,Ideal,G,VS2,57.0
0.42,Ideal,G,VVS1,54.0
1.03,Ideal,E,SI1,57.0
1.5,Very Good,G,SI1,56.0
1.21,Ideal,H,VVS2,53.5
1.1,Premium,I,SI1,58.0
0.7,Very Good,E,SI2,55.0
1.02,Ideal,D,VS1,57.0
0.4,Ideal,D,VS2,56.0
0.32,Ideal,E,VVS1,56.0
0.3,Ideal,F,SI2,56.0
0.91,Ideal,E,SI1,57.0
0.57,Ideal,D,SI1,55.0
1.05,Ideal,G,VS1,56.0
0.3,Ideal,G,VVS2,57.0
1.27,Premium,I,SI2,57.0
0.4,Ideal,D,SI1,56.0
0.53,Ideal,F,SI1,55.0
0.24,Ideal,E,VS1,57.0
0.58,Ideal,G,VS2,57.0
0.7,Premium,E,VS2,59.0
0.71,Good,F,SI2,63.0
1.0,Premium,E,SI1,59.0
0.9,Ideal,I,SI2,55.0
1.01,Very Good,F,SI1,56.0
0.73,Ideal,E,SI2,57.0
2.21,Very Good,J,VS2,58.0
0.7,Ideal,E,VS2,56.0
1.51,Ideal,G,VS2,54.0
0.91,Premium,G,SI2,60.0
1.24,Very Good,I,VS1,59.0
0.71,Premium,E,SI2,62.0
1.5,Premium,E,SI2,60.0
1.06,Ideal,I,VS2,57.0
0.56,Premium,E,VS2,60.0
1.01,Ideal,G,SI2,55.0
0.41,Ideal,D,SI1,55.0
0.31,Premium,G,VS2,58.0
0.72,Premium,F,SI1,59.0
1.21,Ideal,H,VS1,57.0
0.31,Ideal,J,VS1,56.0
0.91,Ideal,J,VS2,54.0
0.3,Ideal,H,VS1,58.0
0.24,Very Good,E,VS1,56.0
1.25,Premium,I,VS1,59.0
0.38,Ideal,E,VS2,55.0
0.31,Very Good,D,VS2,56.0
1.18,Very Good,H,SI1,57.0
0.7,Very Good,H,SI1,59.0
0.54,Ideal,F,VS1,56.0
0.34,Premium,E,SI1,58.0
1.51,Very Good,I,VS2,59.0
1.01,Very Good,F,SI1,59.0
0.74,Very Good,F,SI1,56.0
0.77,Ideal,G,VS1,55.0
1.7,Premium,G,VS2,58.0
1.52,Premium,G,VS2,58.0
0.74,Ideal,G,SI2,56.0
1.57,Premium,I,SI1,59.0
1.11,Ideal,G,VS1,56.0
0.32,Ideal,I,VS1,56.0
0.54,Ideal,H,SI1,57.0
0.73,Ideal,F,VS1,56.0
0.9,Premium,E,SI2,58.0
0.36,Very Good,H,VS2,57.0
1.12,Ideal,I,SI2,56.0
1.61,Ideal,I,VS2,55.0
1.14,Ideal,H,VS2,57.0
0.53,Very Good,D,VS2,58.0
0.33,Ideal,G,VS1,55.0
0.7,Ideal,H,VS2,56.0
1.36,Premium,J,VS1,58.0
0.59,Premium,F,SI1,58.0
1.01,Very Good,G,SI1,56.0
1.5,Very Good,G,VVS2,59.0
1.21,Ideal,G,VS1,56.0
0.52,Ideal,D,VS2,56.0
0.32,Very Good,H,VS1,57.0
0.33,Ideal,D,SI1,55.0
1.5,Premium,E,SI2,58.0
1.5,Good,E,SI1,60.0
1.54,Premium,G,VS2,58.0
0.71,Premium,F,SI1,59.0
0.3,Ideal,D,VS2,57.0
1.62,Ideal,I,VS2,56.0
0.59,Premium,E,SI1,58.0
1.08,Ideal,H,SI2,57.0
0.9,Ideal,H,VS1,56.0
0.31,Ideal,H,VVS1,55.0
0.9,Good,E,SI1,59.0
1.01,Ideal,E,SI1,56.0
0.32,Premium,F,VVS2,59.0
1.01,Premium,G,VS2,59.0
1.01,Premium,G,SI1,58.0
0.4,Ideal,D,VVS2,57.0
0.52,Premium,E,VS2,58.0
1.06,Very Good,F,VVS1,59.0
1.52,Premium,G,VS2,59.0
0.9,Good,I,VS1,62.0
0.71,Premium,H,SI1,62.0
1.58,Ideal,H,SI1,57.0
0.5,Ideal,F,VS2,56.0
1.52,Premium,H,SI1,60.0
0.8,Ideal,F,SI1,57.0
1.18,Premium,G,SI1,59.0
0.37,Premium,D,VS2,58.0
0.32,Ideal,H,VS2,55.0
2.17,Ideal,G,SI2,56.0
1.22,Ideal,H,SI1,57.0
0.34,Premium,D,VS2,58.0
1.12,Premium,H,SI1,58.0
1.0,Premium,H,VVS2,61.0
1.1,Ideal,D,SI2,56.0
0.34,Ideal,F,VS1,55.0
0.71,Ideal,G,SI1,56.0
1.02,Ideal,J,SI1,56.0
0.57,Ideal,G,VS1,55.0
0.91,Ideal,I,SI1,56.0
0.41,Premium,F,VVS2,59.0
0.41,Ideal,F,IF,57.0
0.36,Ideal,F,SI1,57.0
1.23,Premium,H,VS1,60.0
0.31,Ideal,G,VVS1,56.0
0.23,Very Good,E,VVS2,58.0
0.98,Fair,F,SI1,61.0
1.2,Premium,H,SI1,59.0
0.31,Ideal,D,VS2,56.0
2.03,Ideal,H,SI2,54.0
1.3,Ideal,G,VS1,57.0
1.21,Ideal,G,VS1,57.0
0.6,Premium,D,VS1,59.0
0.3,Ideal,E,VS2,55.0
0.55,Good,G,VS1,59.0
1.13,Ideal,G,VVS2,57.0
0.74,Ideal,E,VS2,56.0
0.9,Premium,G,VS1,58.0
0.94,Ideal,E,SI2,57.0
0.41,Premium,D,VVS2,58.0
2.11,Premium,I,SI1,59.0
0.58,Fair,G,VVS2,66.0
0.52,Ideal,G,IF,57.0
1.53,Ideal,I,SI1,57.0
0.7,Ideal,H,VS2,55.0
0.32,Very Good,I,SI2,58.0
0.72,Ideal,H,SI1,56.0
0.54,Very Good,G,VS1,59.0
0.31,Ideal,H,IF,54.0
1.21,Premium,I,SI1,59.0
1.04,Premium,E,SI1,59.0
0.7,Premium,F,SI1,58.0
2.0,Ideal,F,SI2,56.0
1.51,Very Good,E,SI1,58.0
0.73,Ideal,G,SI1,57.0
0.53,Ideal,I,VS2,54.0
0.53,Ideal,G,IF,55.0
1.0,Premium,H,SI1,62.0
1.14,Ideal,G,VS2,57.0
0.7,Ideal,I,VVS1,54.0
1.17,Ideal,G,VS1,55.0
0.31,Ideal,G,VS2,54.0
0.7,Premium,G,VS2,60.0
1.26,Premium,G,VS2,58.0
1.05,Ideal,G,VS2,56.0
0.3,Ideal,E,SI1,57.0
0.41,Ideal,J,VS1,55.0
0.34,Very Good,J,SI1,54.0
0.7,Ideal,E,VS2,56.0
0.41,Ideal,F,VVS2,55.0
0.32,Ideal,F,VVS1,56.0
0.91,Very Good,G,SI1,60.0
0.4,Good,J,VS1,57.0
0.41,Ideal,F,VVS1,55.0
0.4,Premium,J,VS1,59.0
0.34,Ideal,F,VS2,57.0
1.03,Ideal,F,VS2,55.0
1.2,Good,I,SI2,57.0
1.01,Good,E,SI2,57.0
0.3,Very Good,G,VVS2,56.0
0.72,Premium,G,SI1,60.0
0.9,Very Good,J,SI1,59.0
0.72,Premium,H,SI1,58.0
0.7,Ideal,D,VS2,56.0
0.8,Ideal,E,SI1,56.0
1.01,Ideal,E,VS1,57.0
0.3,Ideal,E,VS2,55.0
1.56,Ideal,G,SI2,54.0
0.32,Premium,H,VS1,58.0
0.9,Very Good,F,SI1,55.0
1.03,Ideal,D,SI1,54.0
1.53,Ideal,I,VS1,57.0
0.58,Very Good,H,SI1,59.0
0.42,Ideal,H,SI1,55.0
0.34,Premium,H,VS1,58.0
0.51,Ideal,G,SI2,55.0
1.56,Premium,H,VS2,59.0
0.32,Very Good,D,VS2,55.0
0.41,Ideal,D,VVS2,55.0
1.24,Ideal,E,SI1,57.0
1.13,Ideal,F,VVS1,55.0
1.01,Premium,D,SI1,58.0
0.41,Ideal,H,VS2,54.0
0.32,Very Good,G,SI1,56.0
0.35,Ideal,I,VS1,55.0
1.3,Very Good,D,VS2,56.0
0.56,Ideal,F,VS2,56.0
0.32,Ideal,E,VS2,56.0
0.34,Ideal,E,VS1,55.0
0.54,Very Good,H,VS1,57.0
0.76,Very Good,F,VS2,57.0
2.0,Premium,F,SI2,56.0
1.48,Very Good,I,SI2,62.0
1.3,Premium,D,SI2,58.0
0.7,Fair,H,VVS1,58.0
1.12,Ideal,G,SI1,55.0
0.41,Ideal,I,SI1,57.0
0.31,Ideal,G,SI1,57.0
1.24,Ideal,H,VVS2,55.0
0.31,Ideal,G,VVS1,56.0
0.7,Very Good,E,SI1,56.0
0.3,Very Good,H,VVS1,56.0
1.53,Ideal,I,SI1,57.0
0.3,Ideal,G,VVS1,56.0
1.51,Premium,G,SI1,60.0
1.26,Ideal,G,VS2,56.0
0.51,Good,E,SI1,57.0
0.74,Ideal,F,VS2,54.0
0.31,Ideal,D,SI1,56.0
0.27,Ideal,E,VVS2,57.0
0.72,Ideal,D,SI1,56.0
0.41,Ideal,H,VVS2,57.0
0.9,Good,D,VS2,60.0
0.7,Ideal,D,SI1,53.0
0.32,Ideal,G,VS2,57.0
0.31,Ideal,G,SI2,57.0
0.81,Ideal,G,SI2,56.0
0.73,Ideal,F,SI2,56.0
1.5,Premium,D,SI2,59.0
1.1,Ideal,H,SI2,55.0
0.32,Very Good,I,SI1,56.0
0.91,Good,E,SI2,56.0
1.01,Premium,H,VS2,60.0
1.22,Very Good,H,SI1,58.0
0.32,Premium,G,VS2,60.0
2.04,Premium,D,SI1,58.0
0.78,Ideal,G,VS2,57.0
0.76,Premium,E,SI1,60.0
0.53,Ideal,D,SI2,55.0
1.53,Ideal,G,VS2,55.0
0.7,Very Good,E,SI1,56.0
0.35,Good,D,SI2,57.0
0.51,Ideal,E,SI1,56.0
0.9,Very Good,E,SI2,63.0
0.34,Premium,H,IF,58.0
1.91,Premium,I,VS2,60.0
0.5,Very Good,G,SI2,63.0
1.57,Ideal,I,SI1,55.0
2.11,Ideal,G,SI1,57.0
0.54,Ideal,D,VS2,56.0
0.31,Premium,G,VS2,57.0
0.75,Premium,D,SI1,56.0
0.41,Good,D,SI1,58.0
0.7,Ideal,D,SI2,55.0
1.04,Premium,F,SI2,59.0
1.3,Premium,H,SI1,59.0
1.03,Very Good,E,SI1,58.0
0.51,Premium,E,VS1,59.0
0.4,Ideal,E,VS1,56.0
0.72,Ideal,F,SI2,56.0
1.11,Very Good,G,VVS2,58.0
0.94,Premium,H,SI2,58.0
0.34,Premium,G,VS2,58.0
0.31,Ideal,G,VS2,54.0
1.01,Ideal,G,SI2,55.0
0.36,Ideal,D,SI1,56.0
0.3,Ideal,D,SI1,56.0
0.32,Ideal,I,IF,56.0
0.95,Premium,G,SI2,61.0
0.42,Ideal,I,VVS1,57.0
1.1,Very Good,H,SI2,56.0
0.31,Ideal,F,VS2,57.0
1.51,Very Good,H,VS2,58.0
0.34,Ideal,E,VS2,56.0
1.21,Premium,G,VS2,59.0
1.13,Ideal,D,SI2,57.0
1.13,Ideal,E,IF,57.0
0.5,Very Good,G,VS1,57.0
1.32,Premium,I,VS1,58.0
0.3,Premium,H,SI1,60.0
0.41,Ideal,G,VVS1,56.0
0.5,Ideal,F,VS2,56.0
0.42,Ideal,D,SI1,55.0
1.13,Premium,H,SI2,59.0
0.31,Premium,J,VS2,59.0
0.4,Premium,I,VS1,59.0
0.73,Ideal,D,VS2,57.0
2.01,Ideal,H,SI2,57.0
1.04,Ideal,H,VS2,57.0
0.3,Ideal,H,VVS1,54.0
0.57,Ideal,D,SI1,54.0
1.14,Ideal,E,VVS1,57.0
0.3,Very Good,E,SI1,56.0
0.38,Very Good,E,VVS2,56.0
0.41,Ideal,F,VS1,56.0
0.83,Ideal,F,SI1,57.0
1.51,Premium,G,VS1,58.0
1.5,Premium,J,SI2,60.0
0.9,Very Good,H,SI1,59.0
0.52,Ideal,E,VS1,56.0
0.31,Very Good,J,VS1,56.0
0.5,Good,E,VS2,54.0
0.93,Ideal,I,SI1,56.0
0.27,Ideal,F,VVS2,55.0
0.4,Premium,E,VS1,60.0
0.73,Ideal,F,VVS2,56.0
0.4,Good,D,SI2,60.0
0.9,Ideal,D,SI2,56.0
1.51,Premium,D,VS2,59.0
0.31,Ideal,F,VVS2,56.0
1.1,Very Good,G,VS2,56.0
0.3,Ideal,D,SI1,56.0
0.73,Premium,I,VS1,57.0
0.38,Ideal,F,VVS1,55.0
0.33,Very Good,G,SI1,57.0
0.6,Very Good,F,VS1,59.0
0.3,Ideal,G,SI1,58.0
1.03,Very Good,D,SI2,56.0
0.4,Ideal,E,VS2,54.0
1.04,Ideal,H,VS2,57.0
0.4,Premium,G,VS1,58.0
1.5,Good,G,SI1,59.0
1.11,Ideal,G,VS2,55.0
1.01,Fair,G,VS2,57.0
0.41,Ideal,E,VVS1,57.0
1.59,Premium,H,SI1,59.0
0.3,Premium,G,VVS1,58.0
0.31,Ideal,D,VS2,57.0
0.78,Premium,G,VS2,59.0
0.31,Ideal,F,SI1,56.0
2.21,Premium,G,SI1,59.0
0.7,Ideal,I,SI2,55.0
0.35,Ideal,G,VS1,56.0
1.03,Ideal,G,SI1,56.0
1.21,Ideal,F,VS2,56.0
1.5,Premium,E,SI1,60.0
0.3,Premium,E,VS2,61.0
0.27,Very Good,G,VVS1,56.0
1.21,Ideal,E,SI1,57.0
0.43,Ideal,D,VS2,57.0
0.5,Premium,E,SI1,59.0
0.9,Very Good,G,SI1,57.0
0.24,Ideal,G,VS2,55.0
0.71,Ideal,F,SI1,56.0
1.21,Ideal,H,SI1,56.0
0.53,Ideal,E,VS2,56.0
0.5,Good,D,SI1,59.0
0.42,Premium,G,VVS1,58.0
0.5,Premium,D,VS2,60.0
1.01,Very Good,D,SI1,55.0
0.53,Premium,E,SI1,61.0
0.71,Ideal,F,SI1,56.0
2.05,Ideal,I,SI1,61.0
0.52,Premium,G,SI1,59.0
0.38,Ideal,H,VVS2,57.0
0.57,Ideal,H,VS1,55.0
0.32,Premium,E,VS2,60.0
0.42,Very Good,G,VS2,57.0
0.32,Very Good,I,SI2,57.0
0.3,Premium,G,VS1,58.0
0.75,Premium,D,VS2,59.0
0.95,Fair,D,SI2,56.0
1.03,Ideal,H,SI2,56.0
0.3,Ideal,D,VS2,57.0
2.05,Ideal,H,VS2,56.0
1.06,Premium,G,IF,55.0
0.4,Premium,H,VS1,61.0
0.4,Ideal,E,VS1,56.0
0.91,Very Good,J,SI2,58.0
0.5,Ideal,G,SI1,57.0
1.54,Ideal,J,VVS1,58.0
1.01,Premium,E,VS2,60.0
1.16,Ideal,H,VS1,55.0
0.33,Good,F,SI1,56.0
1.04,Premium,H,SI2,59.0
0.81,Ideal,F,SI2,57.0
0.31,Ideal,G,VS2,55.0
1.05,Premium,D,SI2,58.0
2.01,Good,J,SI1,61.0
0.71,Premium,G,VS2,58.0
1.03,Premium,H,SI1,56.0
0.26,Very Good,G,VVS1,59.0
0.31,Ideal,E,VVS2,56.0
1.01,Premium,I,VS2,58.0
0.34,Premium,G,SI1,59.0
0.26,Ideal,H,VVS1,56.0
0.5,Very Good,D,VS1,59.0
0.33,Premium,E,SI1,59.0
1.01,Very Good,G,VS1,58.0
1.03,Premium,F,VS2,57.0
0.3,Premium,I,SI1,61.0
1.2,Ideal,G,VS2,56.0
0.32,Ideal,I,VVS2,57.0
0.31,Ideal,D,SI1,56.0
0.41,Ideal,E,VS1,57.0
0.71,Premium,E,SI2,59.0
0.3,Premium,G,VS1,58.0
1.04,Premium,G,SI1,59.0
0.71,Ideal,F,VS2,56.0
0.73,Premium,F,VS2,59.0
1.06,Ideal,J,SI1,56.0
1.51,Premium,E,SI1,59.0
0.44,Ideal,G,VS1,56.0
0.32,Ideal,F,VVS1,55.0
1.5,Ideal,F,SI2,55.0
0.53,Ideal,E,VS2,56.0
0.3,Very Good,G,VS2,61.0
0.9,Very Good,F,SI2,58.0
