carat,table,color,clarity
0.91,57.0,3.0,2.0
1.11,58.0,1.0,1.0
0.4,57.0,5.0,5.0
1.01,58.0,1.0,1.0
0.71,59.0,5.0,4.0
0.31,57.0,2.0,4.0
0.41,59.0,3.0,3.0
0.5,56.0,3.0,4.0
0.91,58.0,2.0,4.0
0.92,57.0,5.0,1.0
0.32,55.0,2.0,3.0
1.5,60.0,2.0,4.0
0.33,55.0,2.0,6.0
0.51,56.0,3.0,7.0
1.16,56.0,3.0,5.0
0.54,56.0,3.0,3.0
1.52,59.0,3.0,3.0
0.31,57.0,5.0,3.0
1.03,59.0,3.0,3.0
1.14,57.0,6.0,2.0
0.52,59.0,3.0,3.0
0.33,56.0,5.0,4.0
1.5,60.0,1.0,3.0
1.01,57.0,3.0,3.0
1.53,60.0,4.0,2.0
0.5,57.0,3.0,3.0
0.38,55.0,1.0,4.0
0.9,57.0,4.0,2.0
0.31,59.0,5.0,5.0
0.31,55.3,0.0,3.0
0.7,57.0,5.0,1.0
1.01,61.0,3.0,2.0
0.53,55.0,5.0,3.0
0.37,55.0,2.0,4.0
1.03,56.0,5.0,1.0
0.3,61.0,5.0,3.0
0.28,58.0,5.0,3.0
0.72,56.0,5.0,3.0
1.54,57.0,5.0,2.0
0.31,56.0,5.0,6.0
0.3,57.0,3.0,7.0
1.17,56.0,3.0,4.0
0.71,59.0,3.0,1.0
1.51,60.0,4.0,3.0
0.5,60.0,5.0,3.0
1.15,55.0,2.0,2.0
1.01,57.0,5.0,4.0
1.53,59.0,2.0,1.0
0.73,54.0,6.0,3.0
0.3,57.0,1.0,6.0
0.31,56.0,3.0,4.0
2.0,62.0,1.0,3.0
1.11,59.0,3.0,0.0
1.05,59.0,2.0,2.0
1.01,59.0,1.0,4.0
0.53,57.0,5.0,2.0
1.0,55.0,5.0,0.0
0.33,57.0,3.0,5.0
1.01,57.0,3.0,3.0
2.01,59.0,2.0,3.0
2.02,59.0,1.0,3.0
0.51,55.0,5.0,1.0
2.01,60.0,5.0,2.0
1.0,59.0,5.0,1.0
0.56,57.0,6.0,7.0
1.01,57.0,6.0,2.0
0.3,56.0,1.0,6.0
1.52,59.0,4.0,3.0
1.15,57.0,2.0,1.0
0.72,58.0,3.0,1.0
0.3,57.0,5.0,3.0
1.04,58.0,4.0,3.0
0.3,56.0,4.0,7.0
0.32,56.0,5.0,4.0
0.4,58.0,6.0,3.0
0.54,56.0,4.0,1.0
1.02,57.0,3.0,3.0
0.41,54.0,4.0,3.0
0.57,56.0,6.0,5.0
0.77,57.0,3.0,2.0
0.57,58.0,3.0,4.0
0.61,62.0,5.0,2.0
0.56,55.0,3.0,3.0
0.71,57.0,3.0,2.0
0.31,56.0,5.0,3.0
1.01,59.0,2.0,2.0
0.56,57.0,6.0,3.0
1.53,59.0,6.0,2.0
1.21,59.0,2.0,1.0
1.02,56.0,5.0,1.0
0.71,58.0,3.0,4.0
0.58,58.0,4.0,5.0
0.78,56.0,4.0,2.0
0.3,56.0,6.0,1.0
0.32,55.0,3.0,5.0
2.0,57.0,3.0,1.0
0.3,57.0,3.0,5.0
0.52,55.0,5.0,3.0
0.5,59.0,5.0,3.0
0.56,56.0,6.0,3.0
1.01,59.0,2.0,2.0
0.78,56.0,4.0,3.0
1.51,58.0,3.0,1.0
0.41,61.0,5.0,6.0
1.02,58.0,2.0,2.0
0.59,59.0,4.0,3.0
0.31,54.0,6.0,1.0
1.14,55.0,5.0,1.0
1.01,57.0,6.0,2.0
1.01,56.0,6.0,1.0
0.41,55.0,3.0,2.0
0.32,54.0,4.0,2.0
0.31,56.0,6.0,4.0
1.51,60.0,5.0,3.0
0.34,57.0,3.0,2.0
0.7,57.0,5.0,5.0
0.32,54.0,6.0,3.0
0.71,63.0,3.0,1.0
1.06,57.0,0.0,3.0
0.31,56.0,3.0,5.0
0.35,55.0,1.0,7.0
0.41,58.0,3.0,3.0
0.4,55.0,5.0,5.0
0.31,59.0,3.0,7.0
1.13,57.0,3.0,3.0
0.71,55.0,2.0,4.0
0.51,56.0,2.0,4.0
0.3,56.0,5.0,2.0
0.77,57.0,5.0,3.0
0.9,57.0,5.0,2.0
0.7,56.0,4.0,1.0
1.51,58.0,1.0,3.0
0.54,55.0,3.0,2.0
0.52,56.0,3.0,5.0
0.9,57.0,2.0,1.0
0.3,61.0,2.0,4.0
0.72,55.0,4.0,4.0
0.35,57.0,3.0,2.0
1.21,58.0,2.0,1.0
0.73,55.0,2.0,4.0
1.51,59.0,2.0,5.0
1.6,55.0,3.0,2.0
1.55,54.0,2.0,4.0
0.31,59.0,4.0,3.0
0.36,62.0,2.0,3.0
0.66,57.0,4.0,2.0
0.7,57.0,5.0,2.0
0.32,59.0,4.0,3.0
0.52,57.0,6.0,3.0
0.71,55.0,3.0,2.0
0.52,57.0,5.0,4.0
0.31,57.0,2.0,5.0
1.55,55.0,2.0,3.0
0.56,56.0,3.0,2.0
1.03,58.0,3.0,2.0
0.25,57.0,4.0,5.0
0.32,55.0,4.0,3.0
1.6,55.2,1.0,4.0
1.23,57.0,5.0,5.0
0.33,56.0,4.0,5.0
0.32,56.0,4.0,3.0
0.76,57.0,6.0,3.0
1.01,60.0,3.0,4.0
0.33,56.0,4.0,7.0
0.57,56.0,2.0,2.0
1.53,58.0,2.0,4.0
0.3,56.0,1.0,2.0
1.52,57.0,5.0,3.0
0.91,56.0,2.0,4.0
2.05,56.0,2.0,1.0
0.8,60.0,2.0,1.0
0.7,58.0,4.0,2.0
0.82,61.0,6.0,2.0
1.0,64.0,3.0,2.0
1.64,55.0,3.0,3.0
0.9,57.0,1.0,3.0
1.19,60.0,3.0,1.0
0.67,61.0,4.0,2.0
0.41,58.0,4.0,3.0
0.95,58.0,2.0,2.0
1.06,56.0,3.0,3.0
1.16,57.0,2.0,2.0
1.12,56.0,2.0,1.0
1.22,58.0,3.0,2.0
0.5,59.0,5.0,2.0
0.71,57.0,3.0,4.0
0.71,57.0,0.0,2.0
0.33,57.0,3.0,7.0
0.52,56.0,2.0,3.0
0.41,59.0,4.0,2.0
0.81,56.0,6.0,1.0
1.01,57.0,3.0,5.0
1.51,57.0,0.0,4.0
0.43,56.0,3.0,6.0
1.12,63.0,4.0,2.0
0.7,58.0,5.0,2.0
0.63,58.0,5.0,3.0
0.71,56.0,1.0,4.0
0.7,58.0,1.0,2.0
0.7,58.0,0.0,3.0
0.32,56.0,1.0,7.0
0.23,58.0,4.0,5.0
1.51,56.0,1.0,2.0
0.9,53.0,6.0,2.0
1.19,59.0,0.0,2.0
1.31,58.0,3.0,4.0
0.33,61.0,6.0,1.0
1.01,59.0,2.0,3.0
0.31,56.0,3.0,2.0
1.6,57.0,2.0,2.0
1.0,59.0,5.0,2.0
0.72,55.0,4.0,1.0
0.3,54.0,2.0,3.0
0.31,55.0,6.0,3.0
0.3,57.0,6.0,4.0
0.32,56.0,2.0,6.0
0.71,56.0,4.0,6.0
0.7,54.0,1.0,1.0
0.7,55.0,2.0,4.0
0.34,56.0,2.0,6.0
1.05,56.0,3.0,5.0
0.91,61.0,2.0,2.0
1.01,58.0,3.0,3.0
0.53,55.0,5.0,2.0
0.71,56.0,2.0,6.0
0.76,57.0,4.0,1.0
1.06,58.0,3.0,4.0
1.14,57.0,3.0,2.0
0.32,56.0,3.0,5.0
1.07,58.0,5.0,3.0
0.4,56.0,5.0,2.0
1.51,62.0,3.0,3.0
0.7,57.0,3.0,6.0
1.14,58.0,2.0,3.0
0.52,55.0,3.0,5.0
0.32,55.0,3.0,6.0
1.51,57.0,4.0,2.0
0.55,60.0,6.0,2.0
0.71,59.0,6.0,2.0
0.31,57.0,3.0,2.0
0.7,58.0,5.0,3.0
1.01,57.0,5.0,1.0
1.01,55.0,1.0,4.0
0.31,60.0,3.0,4.0
0.38,56.0,1.0,4.0
1.6,57.0,4.0,1.0
0.6,56.0,2.0,3.0
0.59,55.0,6.0,2.0
0.54,56.0,3.0,5.0
0.9,57.0,3.0,2.0
0.35,59.0,5.0,2.0
0.31,58.0,2.0,4.0
0.34,57.0,2.0,3.0
0.57,55.0,4.0,3.0
1.03,59.0,3.0,1.0
0.7,57.0,4.0,3.0
0.31,56.0,5.0,2.0
0.91,58.0,5.0,1.0
0.7,59.0,3.0,2.0
0.51,54.0,3.0,1.0
0.55,61.0,4.0,4.0
0.28,56.0,4.0,5.0
1.07,57.0,2.0,5.0
1.06,55.0,5.0,2.0
0.5,57.0,6.0,1.0
1.51,57.0,0.0,2.0
0.4,58.0,6.0,3.0
0.4,57.0,4.0,6.0
1.32,59.0,2.0,4.0
0.31,54.0,2.0,5.0
0.5,58.0,5.0,2.0
1.0,62.0,5.0,1.0
0.38,56.0,5.0,4.0
0.55,61.0,2.0,3.0
0.55,56.0,4.0,3.0
0.35,56.0,3.0,3.0
0.77,56.0,1.0,3.0
0.7,56.0,1.0,3.0
0.52,56.0,3.0,5.0
0.9,58.0,6.0,2.0
1.52,59.0,2.0,1.0
0.54,57.0,3.0,4.0
0.33,58.0,2.0,7.0
1.52,58.0,3.0,2.0
0.32,57.0,1.0,3.0
0.39,54.3,3.0,4.0
0.5,56.0,5.0,2.0
1.01,57.0,4.0,0.0
1.01,56.0,5.0,2.0
0.8,55.0,4.0,2.0
1.02,59.0,3.0,4.0
0.31,59.0,6.0,1.0
0.72,60.0,5.0,4.0
1.24,56.0,1.0,4.0
1.02,58.0,4.0,2.0
1.01,58.0,4.0,4.0
0.34,56.0,6.0,3.0
1.34,56.0,3.0,2.0
0.72,56.0,2.0,1.0
0.28,55.0,4.0,5.0
0.54,56.0,5.0,4.0
0.31,56.0,6.0,3.0
0.55,55.0,5.0,3.0
1.31,57.0,2.0,1.0
0.53,58.0,5.0,2.0
1.01,63.0,5.0,1.0
0.3,57.0,5.0,2.0
1.01,56.0,3.0,5.0
0.31,62.0,4.0,7.0
0.3,57.0,5.0,3.0
0.31,57.0,3.0,3.0
1.62,56.0,3.0,5.0
0.34,59.0,5.0,7.0
0.38,56.0,5.0,5.0
0.75,56.0,5.0,4.0
0.57,58.0,4.0,3.0
0.4,59.0,5.0,5.0
0.76,55.0,3.0,3.0
0.47,55.0,4.0,7.0
1.0,61.0,3.0,1.0
0.52,58.0,5.0,3.0
0.53,58.0,5.0,3.0
0.51,55.0,5.0,2.0
1.51,57.0,4.0,2.0
0.41,56.0,6.0,2.0
0.71,59.0,5.0,2.0
0.31,55.0,3.0,6.0
0.72,56.0,4.0,5.0
0.35,56.0,5.0,5.0
0.3,61.0,6.0,2.0
0.31,58.0,3.0,3.0
1.02,56.0,3.0,2.0
0.9,60.0,3.0,2.0
0.9,59.0,6.0,1.0
0.75,58.0,5.0,1.0
0.53,56.0,3.0,5.0
1.62,57.0,4.0,2.0
1.0,58.0,5.0,7.0
1.02,56.0,5.0,6.0
2.06,57.0,5.0,1.0
2.14,61.0,0.0,1.0
0.31,58.0,4.0,3.0
1.09,58.0,3.0,2.0
0.51,55.0,5.0,3.0
1.08,57.0,4.0,1.0
1.01,56.0,5.0,4.0
0.41,57.0,5.0,5.0
1.02,61.0,4.0,1.0
1.32,58.0,0.0,1.0
0.7,61.0,4.0,0.0
0.35,55.0,2.0,3.0
1.01,59.0,2.0,2.0
1.07,57.0,3.0,4.0
1.09,56.0,4.0,3.0
0.52,56.0,6.0,3.0
0.72,62.0,4.0,4.0
1.51,59.0,1.0,1.0
0.33,59.0,5.0,2.0
0.73,57.0,3.0,4.0
0.71,62.0,2.0,1.0
0.37,57.0,5.0,3.0
1.51,56.0,1.0,5.0
0.33,55.0,3.0,7.0
0.34,57.0,2.0,6.0
1.57,55.0,6.0,3.0
0.51,55.0,3.0,3.0
1.03,54.0,3.0,3.0
0.72,57.0,5.0,2.0
0.36,58.0,6.0,2.0
0.31,58.0,5.0,3.0
0.52,56.0,5.0,3.0
0.72,57.0,4.0,3.0
1.11,57.0,1.0,3.0
0.41,59.0,6.0,3.0
0.23,56.0,4.0,4.0
1.01,58.0,5.0,2.0
0.41,55.0,3.0,5.0
1.33,54.0,3.0,3.0
0.37,61.0,4.0,2.0
0.29,58.0,3.0,5.0
1.05,58.0,3.0,1.0
1.5,58.0,5.0,4.0
0.33,56.0,5.0,3.0
1.21,54.0,6.0,1.0
1.0,60.0,3.0,1.0
1.16,56.0,2.0,2.0
1.01,57.0,3.0,5.0
0.61,58.0,4.0,2.0
0.72,56.0,3.0,4.0
0.8,60.0,6.0,2.0
0.33,55.0,6.0,3.0
0.33,56.0,3.0,6.0
1.07,57.0,6.0,4.0
1.03,57.0,2.0,1.0
0.31,58.0,4.0,5.0
0.3,57.0,5.0,3.0
0.7,60.0,5.0,2.0
0.42,54.0,3.0,3.0
0.3,55.0,6.0,2.0
0.32,53.0,6.0,3.0
0.23,60.0,5.0,6.0
0.9,56.0,2.0,2.0
1.01,59.0,2.0,3.0
0.4,56.0,4.0,5.0
0.31,56.0,5.0,4.0
0.32,55.0,4.0,3.0
1.54,58.0,6.0,2.0
0.8,58.0,5.0,2.0
0.31,55.0,4.0,4.0
0.31,55.0,2.0,3.0
0.31,57.0,0.0,5.0
0.7,56.0,2.0,4.0
0.31,57.0,2.0,3.0
1.51,59.0,2.0,3.0
0.59,55.0,2.0,3.0
1.35,57.0,4.0,1.0
1.08,58.0,4.0,5.0
0.4,56.0,1.0,6.0
1.2,57.0,1.0,1.0
0.53,56.0,3.0,6.0
1.09,58.0,4.0,1.0
0.41,59.0,3.0,2.0
0.56,63.0,6.0,2.0
0.7,59.0,5.0,1.0
0.55,56.0,4.0,4.0
0.7,60.0,3.0,3.0
1.51,56.0,3.0,4.0
0.5,60.0,5.0,3.0
1.05,55.0,5.0,2.0
0.3,58.0,3.0,4.0
1.43,56.0,3.0,6.0
1.01,61.0,0.0,2.0
1.01,57.0,5.0,6.0
0.53,56.0,2.0,4.0
0.36,56.0,6.0,3.0
0.7,55.0,0.0,2.0
0.4,59.0,3.0,1.0
0.62,57.0,3.0,4.0
1.09,59.0,4.0,1.0
0.9,62.0,6.0,2.0
0.39,56.0,1.0,5.0
0.31,54.0,2.0,2.0
0.39,54.0,3.0,6.0
0.56,57.0,4.0,3.0
0.56,59.0,3.0,4.0
1.15,56.0,3.0,1.0
0.75,57.0,5.0,3.0
1.0,57.0,1.0,3.0
0.3,63.0,6.0,1.0
0.36,59.0,2.0,6.0
0.9,58.0,6.0,1.0
0.34,57.0,5.0,2.0
0.3,55.0,5.0,2.0
0.33,58.0,5.0,6.0
0.54,56.0,4.0,5.0
0.46,54.0,2.0,4.0
0.71,60.0,4.0,1.0
0.41,57.0,4.0,1.0
0.72,57.0,3.0,3.0
0.52,56.0,5.0,5.0
1.0,60.0,3.0,1.0
0.71,59.0,5.0,3.0
1.07,58.0,5.0,3.0
0.3,56.0,6.0,3.0
0.42,59.0,6.0,2.0
0.56,56.0,2.0,5.0
1.33,57.0,3.0,3.0
0.51,56.0,5.0,3.0
0.4,59.0,6.0,3.0
1.52,58.0,3.0,2.0
0.42,58.0,5.0,4.0
1.03,67.0,6.0,2.0
1.01,59.0,2.0,1.0
1.01,57.0,4.0,1.0
1.0,59.0,5.0,2.0
0.38,56.0,4.0,5.0
0.86,57.0,1.0,3.0
0.41,58.0,6.0,1.0
1.5,60.0,5.0,3.0
0.33,57.0,1.0,5.0
0.33,58.0,3.0,3.0
0.51,57.0,6.0,4.0
0.71,56.0,2.0,1.0
0.61,61.0,6.0,2.0
1.51,54.0,3.0,4.0
0.32,56.0,3.0,2.0
1.24,58.0,0.0,4.0
0.9,54.0,4.0,2.0
0.5,60.0,5.0,3.0
1.01,58.0,3.0,3.0
0.54,58.0,5.0,3.0
0.76,55.0,3.0,5.0
0.95,59.0,5.0,2.0
0.31,56.0,5.0,5.0
0.3,57.0,2.0,3.0
0.43,57.0,5.0,1.0
0.41,53.0,6.0,3.0
1.24,58.0,2.0,2.0
1.3,59.0,2.0,3.0
0.72,56.0,5.0,1.0
0.52,55.0,3.0,2.0
0.58,58.0,3.0,2.0
0.33,54.0,3.0,3.0
1.61,57.0,5.0,1.0
1.23,56.0,3.0,1.0
1.0,60.0,6.0,3.0
1.07,58.0,3.0,5.0
0.38,58.0,5.0,4.0
1.17,60.0,5.0,1.0
1.02,56.0,1.0,2.0
0.91,58.0,5.0,2.0
0.51,57.0,5.0,2.0
1.61,55.0,1.0,4.0
0.41,56.0,5.0,4.0
0.9,62.0,3.0,1.0
1.06,56.0,4.0,2.0
2.01,59.0,1.0,2.0
0.42,59.0,6.0,2.0
0.7,59.0,2.0,2.0
0.33,60.0,5.0,4.0
0.66,58.0,6.0,5.0
1.04,59.0,3.0,2.0
0.42,59.0,3.0,2.0
0.5,56.0,5.0,2.0
0.32,55.0,3.0,6.0
0.4,54.0,3.0,3.0
0.53,59.0,4.0,4.0
0.53,59.0,3.0,1.0
1.04,56.0,6.0,5.0
0.38,56.0,6.0,2.0
0.74,57.0,3.0,2.0
0.52,57.0,5.0,3.0
0.9,59.0,3.0,3.0
0.33,56.0,6.0,4.0
0.57,56.0,5.0,4.0
1.08,59.0,4.0,1.0
1.27,58.0,1.0,1.0
0.3,58.0,4.0,7.0
0.9,59.0,6.0,1.0
0.32,58.0,2.0,2.0
0.72,56.0,5.0,2.0
1.01,57.0,5.0,2.0
0.34,57.0,3.0,3.0
1.0,62.0,5.0,1.0
0.7,59.0,3.0,2.0
0.52,55.0,6.0,3.0
0.33,54.0,2.0,7.0
0.38,59.0,4.0,5.0
0.31,58.0,3.0,5.0
0.72,56.0,3.0,4.0
0.34,55.0,6.0,4.0
0.54,55.0,6.0,2.0
0.33,60.0,6.0,1.0
0.31,59.0,3.0,4.0
0.54,58.0,5.0,3.0
1.21,58.0,4.0,4.0
0.33,55.0,2.0,3.0
0.41,55.0,4.0,5.0
1.34,58.0,2.0,3.0
1.0,55.0,5.0,1.0
0.76,58.0,1.0,2.0
0.53,57.0,6.0,3.0
0.32,56.0,4.0,6.0
0.71,58.0,5.0,4.0
0.57,58.0,5.0,2.0
1.03,61.0,5.0,2.0
0.74,53.0,1.0,2.0
0.4,56.0,5.0,6.0
1.2,58.0,5.0,1.0
1.5,60.0,1.0,2.0
1.01,59.0,4.0,1.0
1.01,59.0,3.0,4.0
0.28,55.0,4.0,7.0
1.0,59.0,1.0,4.0
1.01,58.0,2.0,1.0
0.4,56.0,6.0,3.0
1.53,56.0,1.0,2.0
1.12,58.0,5.0,3.0
0.52,55.0,4.0,3.0
0.42,59.0,0.0,3.0
0.7,55.0,4.0,1.0
0.56,57.0,5.0,4.0
0.3,55.0,5.0,5.0
0.31,57.0,4.0,3.0
0.34,58.0,1.0,2.0
0.33,55.0,6.0,2.0
0.7,58.0,2.0,7.0
0.32,55.0,6.0,2.0
0.31,56.0,2.0,2.0
0.77,55.0,3.0,3.0
0.31,57.0,5.0,5.0
0.7,57.0,5.0,1.0
1.11,57.0,4.0,5.0
1.5,58.0,3.0,3.0
1.0,54.0,6.0,2.0
0.3,58.0,3.0,4.0
0.33,56.0,4.0,3.0
1.54,59.0,1.0,3.0
1.09,57.0,2.0,2.0
0.5,58.0,4.0,2.0
0.3,59.0,6.0,2.0
0.32,57.0,4.0,3.0
0.72,59.0,4.0,2.0
0.29,56.0,4.0,4.0
0.79,55.0,5.0,3.0
1.03,59.0,2.0,1.0
0.38,53.0,3.0,1.0
1.26,56.0,3.0,3.0
0.33,55.0,4.0,5.0
1.2,59.0,4.0,3.0
0.34,56.0,3.0,4.0
0.32,57.0,3.0,3.0
0.31,60.0,1.0,4.0
0.31,55.0,2.0,4.0
1.12,60.0,2.0,2.0
1.11,56.0,2.0,2.0
0.43,56.0,3.0,5.0
0.71,60.0,6.0,1.0
0.31,55.0,6.0,2.0
1.5,57.0,1.0,2.0
0.3,55.0,5.0,2.0
0.31,54.0,6.0,2.0
0.7,63.0,1.0,2.0
1.5,57.0,3.0,4.0
2.13,60.0,2.0,2.0
0.73,55.0,1.0,4.0
1.2,58.0,3.0,1.0
1.01,59.0,4.0,1.0
1.03,59.0,2.0,3.0
0.91,58.0,6.0,2.0
1.1,58.0,2.0,2.0
0.73,54.0,4.0,2.0
0.33,58.0,5.0,6.0
0.62,59.0,4.0,4.0
0.51,56.0,6.0,2.0
0.9,62.0,2.0,1.0
1.04,57.0,3.0,2.0
0.3,54.0,6.0,3.0
0.31,57.0,2.0,5.0
0.3,55.0,3.0,5.0
0.31,55.0,6.0,4.0
1.5,58.0,5.0,1.0
0.91,57.0,3.0,1.0
0.36,59.0,0.0,2.0
0.41,59.0,6.0,4.0
0.5,58.0,3.0,1.0
1.57,58.0,3.0,1.0
1.71,56.0,3.0,3.0
2.09,57.0,2.0,1.0
0.54,57.0,5.0,1.0
1.1,58.0,3.0,1.0
0.27,57.0,4.0,3.0
1.51,54.0,0.0,5.0
0.7,56.0,3.0,2.0
0.72,59.0,4.0,3.0
0.3,61.0,5.0,2.0
1.01,60.0,6.0,1.0
0.52,60.0,3.0,4.0
1.11,55.0,6.0,1.0
0.73,55.0,5.0,3.0
1.16,59.0,2.0,1.0
1.2,56.0,4.0,2.0
2.08,59.0,0.0,2.0
1.2,57.0,2.0,2.0
0.33,56.0,5.0,6.0
1.26,59.0,2.0,4.0
0.3,60.0,6.0,2.0
0.34,55.0,4.0,6.0
0.93,59.0,1.0,4.0
0.33,58.0,3.0,3.0
0.31,56.0,6.0,2.0
0.33,59.0,5.0,3.0
0.31,60.0,2.0,6.0
1.21,59.0,2.0,1.0
0.23,60.0,5.0,6.0
1.56,57.0,6.0,3.0
0.55,61.0,5.0,2.0
0.32,55.0,4.0,3.0
0.46,55.0,4.0,1.0
0.9,56.0,1.0,2.0
0.42,59.0,5.0,2.0
1.51,58.0,0.0,6.0
0.51,58.0,3.0,5.0
1.01,58.0,3.0,3.0
0.31,54.0,6.0,2.0
0.7,58.0,2.0,3.0
0.7,59.0,5.0,2.0
1.03,59.0,4.0,1.0
0.24,59.0,5.0,6.0
1.03,57.0,5.0,1.0
1.5,57.0,2.0,2.0
0.31,56.0,3.0,6.0
0.73,57.0,2.0,2.0
0.31,54.0,6.0,5.0
0.4,56.0,4.0,6.0
0.73,57.0,5.0,3.0
0.5,60.0,3.0,6.0
0.33,55.0,5.0,2.0
0.31,54.0,3.0,1.0
1.0,58.0,4.0,3.0
0.35,60.0,4.0,4.0
0.57,64.0,4.0,3.0
0.32,56.0,0.0,3.0
0.71,57.0,4.0,1.0
1.2,59.0,2.0,2.0
0.56,55.0,4.0,5.0
1.01,56.0,1.0,2.0
1.04,58.0,2.0,2.0
1.0,61.0,3.0,4.0
0.4,55.0,5.0,4.0
0.7,58.0,2.0,2.0
0.55,57.0,4.0,2.0
0.29,55.0,3.0,7.0
1.03,56.0,6.0,1.0
0.74,58.0,1.0,5.0
1.02,56.0,5.0,1.0
1.22,57.0,3.0,3.0
0.41,55.0,3.0,3.0
1.5,60.0,0.0,3.0
1.16,55.0,3.0,4.0
0.57,56.0,5.0,2.0
1.09,58.0,2.0,2.0
0.3,56.0,5.0,3.0
0.37,55.0,5.0,3.0
0.71,57.0,5.0,3.0
1.01,57.0,4.0,3.0
0.33,56.0,3.0,3.0
1.02,60.0,5.0,2.0
0.35,57.0,5.0,3.0
1.21,59.0,5.0,2.0
1.53,58.0,2.0,2.0
0.28,57.0,6.0,5.0
1.04,58.0,3.0,3.0
1.0,58.0,4.0,3.0
1.6,57.0,4.0,1.0
0.7,60.0,5.0,1.0
1.52,58.0,5.0,3.0
0.71,56.0,4.0,1.0
0.4,63.0,3.0,2.0
1.52,59.0,1.0,4.0
0.32,55.0,0.0,6.0
0.42,56.0,1.0,6.0
0.41,57.0,3.0,3.0
0.39,56.0,5.0,5.0
0.5,56.0,4.0,1.0
0.54,57.0,4.0,3.0
0.3,55.0,5.0,6.0
1.01,61.0,4.0,4.0
1.01,58.0,3.0,5.0
0.3,58.0,2.0,2.0
0.3,53.7,6.0,2.0
0.3,57.0,5.0,6.0
0.61,57.0,6.0,1.0
0.32,57.0,2.0,4.0
0.51,60.0,5.0,4.0
1.01,57.0,3.0,3.0
1.02,60.0,6.0,2.0
0.7,57.0,6.0,1.0
0.32,55.0,5.0,3.0
0.75,55.0,3.0,2.0
0.72,56.0,4.0,1.0
2.01,58.0,1.0,4.0
1.58,56.0,4.0,4.0
0.72,55.0,2.0,2.0
0.4,56.0,6.0,4.0
0.72,58.0,5.0,4.0
1.1,57.0,3.0,6.0
0.75,54.0,4.0,4.0
0.71,56.0,5.0,1.0
0.35,56.0,4.0,3.0
2.01,60.0,2.0,2.0
1.01,55.0,3.0,3.0
1.01,59.0,2.0,3.0
1.64,56.0,3.0,3.0
0.42,60.0,3.0,7.0
1.04,54.0,2.0,2.0
0.4,59.0,3.0,6.0
0.71,57.0,3.0,2.0
1.01,58.0,3.0,2.0
0.52,56.0,4.0,3.0
1.01,59.0,4.0,1.0
1.11,56.0,1.0,2.0
0.41,58.0,5.0,3.0
0.34,58.0,5.0,5.0
1.12,59.0,3.0,1.0
0.52,56.0,1.0,1.0
1.52,59.0,3.0,6.0
0.59,57.0,3.0,5.0
1.22,58.0,1.0,3.0
0.3,54.0,6.0,2.0
0.32,56.0,3.0,1.0
2.01,54.0,3.0,2.0
0.52,56.0,6.0,3.0
0.42,55.0,5.0,5.0
0.73,56.0,5.0,2.0
0.71,56.0,3.0,3.0
0.3,56.0,2.0,3.0
1.0,62.0,3.0,3.0
0.7,56.0,2.0,2.0
0.72,56.0,3.0,1.0
1.3,62.0,3.0,1.0
0.33,55.0,2.0,5.0
0.38,58.0,5.0,3.0
1.72,57.0,0.0,2.0
0.62,60.7,4.0,4.0
1.03,56.0,3.0,2.0
0.5,58.0,5.0,2.0
0.71,61.0,3.0,4.0
0.59,61.0,0.0,2.0
0.55,57.0,4.0,1.0
0.26,58.0,4.0,5.0
1.58,57.0,4.0,2.0
0.3,57.0,1.0,4.0
0.32,55.0,1.0,2.0
0.34,60.0,2.0,3.0
0.9,60.0,4.0,3.0
0.56,55.0,1.0,6.0
0.3,54.0,6.0,1.0
1.01,57.0,3.0,3.0
0.7,59.0,4.0,2.0
1.5,56.0,2.0,1.0
1.06,56.0,3.0,3.0
0.4,56.0,2.0,2.0
0.48,56.0,4.0,3.0
0.72,56.0,6.0,2.0
1.2,58.0,2.0,6.0
1.05,57.0,4.0,2.0
1.01,58.0,3.0,2.0
2.14,57.0,0.0,2.0
0.3,53.0,1.0,4.0
0.7,56.0,4.0,2.0
0.39,56.4,4.0,4.0
0.7,54.5,3.0,2.0
1.54,56.0,3.0,3.0
1.03,56.0,3.0,1.0
0.9,58.0,5.0,1.0
1.03,59.0,1.0,2.0
0.34,58.0,3.0,3.0
0.81,58.0,3.0,4.0
0.9,58.0,2.0,3.0
0.7,56.0,5.0,3.0
2.03,55.0,1.0,2.0
0.32,57.0,6.0,3.0
1.0,58.0,6.0,2.0
0.5,57.0,5.0,3.0
2.0,59.0,4.0,1.0
1.01,59.0,2.0,3.0
1.01,58.0,2.0,1.0
0.32,55.0,4.0,5.0
0.33,55.0,3.0,4.0
1.52,59.0,2.0,1.0
0.61,58.0,5.0,3.0
0.52,57.0,3.0,3.0
0.33,54.0,2.0,7.0
0.7,57.0,1.0,2.0
0.51,55.0,3.0,4.0
0.4,56.0,5.0,1.0
1.02,58.0,4.0,3.0
1.2,57.0,5.0,2.0
2.0,56.0,1.0,1.0
0.75,61.0,5.0,3.0
0.24,58.0,5.0,6.0
0.74,58.0,4.0,2.0
0.53,56.0,5.0,3.0
0.32,56.0,3.0,6.0
0.4,59.0,6.0,5.0
1.03,55.0,3.0,4.0
0.56,56.0,5.0,4.0
0.32,55.0,5.0,4.0
0.31,56.0,4.0,2.0
0.79,57.0,6.0,2.0
0.43,57.0,3.0,1.0
0.32,55.0,2.0,2.0
2.28,57.0,2.0,3.0
